nav_start,median_5yr_nav,p10_5yr_nav,p90_5yr_nav,median_5yr_return_pct,p10_5yr_return_pct,p90_5yr_return_pct,amfi_code,scheme_name
230.2708,807.4854859184325,543.3879571241852,1204.7280071012462,250.6677728650061,135.97779532801604,423.17879952701173,148567,Mirae Asset Large Cap Fund - Regular - Growth
473.764,1705.7028976400022,995.818026662534,2937.492208740075,260.0321885242446,110.19284425632465,520.0328029863127,120505,ICICI Pru Midcap Fund - Regular - Growth
163.2397,564.0812086051999,362.2189541552984,882.3608450868567,245.55393608613585,121.89391070634068,440.53079311396476,120843,Kotak Flexicap Fund - Regular - Growth
342.0072,1118.6638672537356,659.5325436803224,1907.5243462771684,227.0878119682087,92.84171318040157,457.74391482903525,100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth
151.1311,395.50904945032244,264.9344805870788,592.8215363441876,161.69931235220446,75.301099897426,292.2564821828119,120504,ICICI Pru Bluechip Fund - Direct - Growth
